Interne ID-Nummer;Nachname;Vorname;Klasse
1001;Schmidt;Karim;5A
1002;Böhm;Selin;5A
1003;Neumann;Felix;5A
1004;Zieliński;Elif;5A
1005;Đorđević;Leon;5A
1006;Wolf;Jonas;5A
1007;Braun;Clara;5A
1008;Şahin;Jonas;5A
1009;Schmitz;Milan;5A
1010;Çelik;David;5A
1011;Demir;Theo;5A
1012;Aydın;Clara;5A
1013;Weber;Emma;5B
1014;Schmitz;Deniz;5B
1015;Müller;Olena;5B
1016;Bondarenko;Lina;5B
1017;Böhm;Emma;5B
1018;Kaya;Deniz;5B
1019;Çelik;Selin;5B
1020;Haddad;Ida;5B
1021;Şahin;Yusuf;5B
1022;Richter;Fatma;5B
1023;Becker;Hannah;5B
1024;Öztürk;Hannah;5B
1025;Đorđević;Clara;6A
1026;Kaya;Karim;6A
1027;Lange;Ben;6A
1028;Şahin;Emir;6A
1029;Đorđević;Anton;6A
1030;Şahin;Amira;6A
1031;Öztürk;Theo;6A
1032;Kowalski;Olena;6A
1033;Richter;Deniz;6A
1034;Groß;Hannah;6A
1035;Neumann;Karim;6A
1036;Krüger;Hannah;6A
1037;Şahin;Ida;6B
1038;Kaya;Theo;6B
1039;Schröder;Sofia;6B
1040;Vogel;Hannah;6B
1041;Frank;Noah;6B
1042;Çelik;Lea;6B
1043;Bauer;Hannah;6B
1044;Schäfer;Milan;6B
1045;Çelik;Felix;6B
1046;Koch;Amira;6B
1047;Đorđević;Nele;6B
1048;Schröder;Deniz;6B
1049;Çelik;Oskar;7A
1050;Bauer;Deniz;7A
1051;Kowalski;Noah;7A
1052;Kaya;Milan;7A
1053;Vogel;Jonas;7A
1054;Aydın;Finn;7A
1055;Wagner;Hannah;7A
1056;Wagner;Oskar;7A
1057;Bondarenko;Nele;7A
1058;Wolf;Olena;7A
1059;Bauer;Olena;7A
1060;Bondarenko;Zeynep;7A
1061;Böhm;Karim;7B
1062;Krause;Mateusz;7B
1063;Çelik;Ben;7B
1064;Böhm;Ayşe;7B
1065;Braun;Noah;7B
1066;Öztürk;Elias;7B
1067;Kowalski;Ben;7B
1068;Aydın;Amira;7B
1069;Wolf;Mateusz;7B
1070;Demir;Amira;7B
1071;Đorđević;Amira;7B
1072;Zieliński;Zeynep;7B
1073;Kaya;Melisa;8A
1074;Kowalski;Marie;8A
1075;Richter;Emir;8A
1076;Lange;Deniz;8A
1077;Çelik;Luca;8A
1078;Schröder;Anton;8A
1079;Zieliński;Felix;8A
1080;Bondarenko;Mia;8A
1081;Schmidt;Elias;8A
1082;Aydın;David;8A
1083;Schröder;Jonas;8A
1084;Böhm;Paul;8A
1085;Koch;Milan;8B
1086;Kaya;Mia;8B
1087;Weber;Yusuf;8B
1088;Frank;Lina;8B
1089;Krüger;Deniz;8B
1090;Vogel;Milan;8B
1091;Fischer;Leon;8B
1092;Fischer;Nele;8B
1093;Öztürk;Emir;8B
1094;Kowalski;Anton;8B
1095;Schäfer;Luca;8B
1096;Wolf;Elif;8B
1097;Çelik;David;9A
1098;Wolf;Luca;9A
1099;Çelik;David;9A
1100;Böhm;Zeynep;9A
1101;Kaya;Mia;9A
1102;Lange;Hannah;9A
1103;Braun;Elif;9A
1104;Aydın;Jonas;9A
1105;Schmitz;Felix;9A
1106;Kowalski;Jonas;9A
1107;Weber;Lina;9A
1108;Krause;Sofia;9A
1109;Koch;Marie;9B
1110;Đorđević;Finn;9B
1111;Groß;Emma;9B
1112;Kowalski;Sofia;9B
1113;Öztürk;Amira;9B
1114;Wolf;Olena;9B
1115;Vogel;Elias;9B
1116;Kaya;Melisa;9B
1117;Frank;Ronja;9B
1118;Koch;Zeynep;9B
1119;Schmitz;Paul;9B
1120;Becker;Elias;9B
1121;Krause;Mateusz;10A
1122;Şahin;Melisa;10A
1123;Lange;Lea;10A
1124;Haddad;Fatma;10A
1125;Weber;Marie;10A
1126;Müller;Zeynep;10A
1127;Demir;Piotr;10A
1128;Weber;Theo;10A
1129;Schröder;Amira;10A
1130;Wagner;Paul;10A
1131;Wagner;Leon;10A
1132;Becker;Mateusz;10A
1133;Müller;Melisa;10B
1134;Çelik;Ronja;10B
1135;Groß;Selin;10B
1136;Demir;Clara;10B
1137;Aydın;Jonas;10B
1138;Hoffmann;Marie;10B
1139;Böhm;Ronja;10B
1140;Wagner;Mateusz;10B
1141;Groß;Milan;10B
1142;Weber;Finn;10B
1143;Zieliński;Fatma;10B
1144;Vogel;Lina;10B
1145;Fischer;Emma;7A
1146;Fischer;Emma;8B
1147;Wagenknecht;Konstantin-Alexander;9A
1148;N'Diaye;François;6B
1149;Wróblewski;Łukasz;5A
